Generation,Fittest
1,699999866
2,699999446
3,699999446
4,399999888
5,206
6,206
7,190
8,190
9,190
10,190
11,177
12,177
13,134
14,134
15,134
16,134
17,134
18,134
19,134
20,134
21,134
22,134
23,134
24,134
25,134
26,134
27,134
28,134
29,134
30,134
31,134
32,134
33,134
34,134
35,134
36,134
37,134
38,134
39,134
40,134
41,134
42,134
43,134
44,134
45,134
46,134
47,134
48,134
49,134
50,134
51,134
52,134
53,134
54,134
55,134
56,134
57,134
58,134
59,134
60,134
61,134
62,134
63,134
64,134
65,134
66,134
67,134
68,134
69,134
70,134
71,128
72,128
73,128
74,128
75,128
76,128
77,128
78,128
79,128
80,128
81,128
82,128
83,128
84,128
85,128
86,128
87,128
88,128
89,128
90,128
91,128
92,128
93,128
94,128
95,128
96,128
97,128
98,128
99,128
100,128
101,128
102,128
103,128
104,128
105,128
106,128
107,128
108,128
109,128
110,128
111,128
112,128
113,128
114,128
115,128
116,128
117,128
118,128
119,128
120,128
121,128
122,128
123,128
124,128
125,128
126,128
127,128
128,128
129,128
130,128
131,128
132,128
133,128
134,128
135,128
136,128
137,128
138,128
139,128
140,128
141,128
142,128
143,128
144,128
145,128
146,128
147,128
148,128
149,128
1,699999405
2,649999679
3,390
4,346
5,297
6,244
7,244
8,244
9,244
10,193
11,193
12,178
13,178
14,178
15,178
16,178
17,178
18,178
19,178
20,178
21,165
22,165
23,157
24,157
25,157
26,157
27,157
28,157
29,157
30,157
31,134
32,134
33,134
34,134
35,134
36,134
37,134
38,134
39,134
40,134
41,134
42,134
43,134
44,134
45,134
46,134
47,134
48,134
49,134
50,134
51,134
52,134
53,134
54,134
55,134
56,134
57,134
58,134
59,134
60,134
61,134
62,134
63,134
64,134
65,134
66,134
67,134
68,134
69,134
70,134
71,134
72,134
73,134
74,134
75,134
76,134
77,134
78,134
79,134
80,134
81,134
82,134
83,134
84,134
85,134
86,134
87,134
88,134
89,134
90,134
91,134
92,134
93,134
94,134
95,132
96,132
97,132
98,132
99,132
100,132
101,132
102,132
103,132
104,132
105,132
106,132
107,132
108,132
109,132
110,132
111,132
112,132
113,132
114,132
115,132
116,132
117,132
118,132
119,132
120,132
121,132
122,132
123,132
124,132
125,132
126,132
127,132
128,132
129,132
130,132
131,132
132,132
133,132
134,132
135,132
136,132
137,132
138,132
139,132
140,132
141,132
142,132
143,132
144,132
145,132
146,132
147,132
148,132
149,132
1,699999876
2,499999642
3,349999853
4,346
5,346
6,346
7,333
8,333
9,333
10,333
11,264
12,264
13,264
14,242
15,242
16,242
17,242
18,242
19,242
20,242
21,242
22,242
23,192
24,192
25,192
26,192
27,192
28,192
29,192
30,192
31,192
32,192
33,192
34,192
35,192
36,192
37,192
38,192
39,192
40,187
41,187
42,187
43,187
44,187
45,187
46,187
47,165
48,165
49,165
50,165
51,165
52,165
53,165
54,165
55,165
56,165
57,165
58,165
59,165
60,165
61,165
62,165
63,165
64,164
65,164
66,164
67,164
68,99
69,99
70,99
71,99
72,99
73,99
74,99
75,99
76,99
77,99
78,99
79,99
80,99
81,99
82,99
83,99
84,99
85,99
86,99
87,99
88,99
89,99
90,99
91,99
92,99
93,99
94,99
95,99
96,99
97,99
98,99
99,99
100,99
101,99
102,99
103,99
104,99
105,99
106,99
107,99
108,99
109,99
110,99
111,99
112,99
113,99
114,99
115,99
116,99
117,99
118,99
119,99
120,99
121,99
122,99
123,99
124,99
125,99
126,99
127,99
128,99
129,99
130,99
131,99
132,99
133,99
134,99
135,99
136,99
137,99
138,99
139,99
140,99
141,99
142,99
143,99
144,99
145,99
146,99
147,99
148,99
149,99
1,699999848
2,699999848
3,499999644
4,181
5,181
6,181
7,181
8,181
9,181
10,181
11,181
12,181
13,181
14,181
15,181
16,181
17,181
18,181
19,181
20,181
21,181
22,145
23,145
24,145
25,145
26,145
27,145
28,145
29,145
30,145
31,145
32,145
33,145
34,145
35,145
36,145
37,145
38,145
39,145
40,145
41,145
42,145
43,145
44,145
45,145
46,145
47,145
48,145
49,145
50,145
51,145
52,145
53,145
54,145
55,145
56,145
57,145
58,145
59,145
60,145
61,145
62,145
63,145
64,145
65,145
66,145
67,145
68,145
69,145
70,145
71,145
72,145
73,145
74,145
75,145
76,145
77,145
78,145
79,145
80,145
81,145
82,145
83,145
84,145
85,145
86,145
87,145
88,145
89,127
90,127
91,127
92,127
93,127
94,127
95,127
96,127
97,127
98,127
99,127
100,127
101,127
102,127
103,127
104,127
105,127
106,127
107,127
108,127
109,127
110,127
111,127
112,127
113,127
114,127
115,127
116,127
117,127
118,127
119,127
120,127
121,127
122,127
123,127
124,127
125,127
126,121
127,121
128,121
129,121
130,121
131,121
132,121
133,121
134,121
135,121
136,121
137,121
138,121
139,121
140,121
141,121
142,121
143,121
144,121
145,121
146,121
147,121
148,121
149,121
1,699999886
2,699999415
3,390
4,293
5,252
6,251
7,221
8,221
9,221
10,221
11,221
12,221
13,202
14,177
15,177
16,177
17,177
18,177
19,177
20,165
21,165
22,165
23,165
24,165
25,165
26,165
27,165
28,165
29,165
30,165
31,165
32,165
33,165
34,165
35,165
36,165
37,165
38,165
39,165
40,165
41,165
42,165
43,165
44,165
45,165
46,165
47,165
48,165
49,165
50,160
51,160
52,160
53,160
54,160
55,160
56,160
57,160
58,160
59,160
60,160
61,160
62,160
63,160
64,160
65,160
66,160
67,160
68,160
69,160
70,160
71,160
72,160
73,160
74,160
75,160
76,160
77,160
78,160
79,160
80,160
81,160
82,160
83,160
84,160
85,160
86,160
87,160
88,160
89,160
90,160
91,128
92,128
93,128
94,128
95,128
96,128
97,128
98,128
99,128
100,128
101,128
102,128
103,128
104,128
105,128
106,128
107,128
108,128
109,128
110,128
111,128
112,128
113,128
114,128
115,128
116,128
117,128
118,128
119,128
120,128
121,128
122,128
123,128
124,128
125,128
126,128
127,128
128,128
129,128
130,128
131,128
132,128
133,128
134,128
135,128
136,128
137,128
138,128
139,128
140,128
141,128
142,128
143,128
144,128
145,128
146,128
147,128
148,128
149,128
1,799999392
2,799999379
3,699999889
4,649999860
5,649999860
6,649999860
7,499999538
8,297
9,209
10,209
11,202
12,202
13,202
14,202
15,191
16,191
17,167
18,167
19,146
20,146
21,146
22,146
23,146
24,146
25,146
26,146
27,146
28,146
29,146
30,146
31,146
32,146
33,146
34,146
35,146
36,146
37,146
38,146
39,146
40,146
41,146
42,146
43,146
44,146
45,146
46,146
47,146
48,146
49,146
50,146
51,146
52,146
53,146
54,138
55,138
56,138
57,138
58,138
59,138
60,138
61,138
62,138
63,138
64,138
65,138
66,138
67,138
68,138
69,138
70,138
71,138
72,138
73,138
74,138
75,138
76,138
77,138
78,138
79,138
80,138
81,138
82,138
83,138
84,138
85,138
86,138
87,138
88,138
89,138
90,138
91,138
92,138
93,138
94,138
95,138
96,138
97,138
98,138
99,138
100,138
101,138
102,138
103,138
104,138
105,138
106,138
107,138
108,138
109,138
110,138
111,138
112,138
113,138
114,138
115,138
116,138
117,138
118,138
119,138
120,138
121,138
122,138
123,138
124,138
125,138
126,138
127,138
128,138
129,138
130,138
131,138
132,138
133,138
134,138
135,138
136,138
137,138
138,138
139,138
140,138
141,138
142,138
143,138
144,138
145,138
146,138
147,138
148,138
149,138
1,699999851
2,699999851
3,699999851
4,699999712
5,699999710
6,699999710
7,699999710
8,699999705
9,699999705
10,699999705
11,699999605
12,699999584
13,699999584
14,699999399
15,699999399
16,699999399
17,699999377
18,699999377
19,699999377
20,699999377
21,699999377
22,699999377
23,699999377
24,699999377
25,699999376
26,649999699
27,649999699
28,649999699
29,649999699
30,649999699
31,649999699
32,649999699
33,649999699
34,649999699
35,649999699
36,649999699
37,649999699
38,649999699
39,649999699
40,649999699
41,649999699
42,649999699
43,649999699
44,649999699
45,649999699
46,649999699
47,649999699
48,649999699
49,649999699
50,649999699
51,649999699
52,649999699
53,649999699
54,649999699
55,649999699
56,649999699
57,649999699
58,649999699
59,649999699
60,649999699
61,649999699
62,649999699
63,649999699
64,649999699
65,649999699
66,649999699
67,649999699
68,649999699
69,649999699
70,649999699
71,649999699
72,649999699
73,649999699
74,389
75,389
76,389
77,389
78,389
79,389
80,389
81,389
82,389
83,335
84,205
85,205
86,205
87,205
88,205
89,205
90,205
91,188
92,179
93,179
94,179
95,179
96,176
97,176
98,156
99,156
100,156
101,156
102,156
103,156
104,156
105,156
106,156
107,156
108,156
109,156
110,156
111,155
112,155
113,155
114,155
115,155
116,155
117,155
118,155
119,127
120,127
121,127
122,127
123,127
124,120
125,120
126,120
127,120
128,120
129,120
130,120
131,120
132,120
133,120
134,120
135,120
136,120
137,120
138,120
139,120
140,120
141,120
142,120
143,120
144,120
145,120
146,120
147,120
148,120
149,120
1,799999386
2,399999486
3,399999486
4,399999391
5,349999690
6,310
7,208
8,208
9,208
10,208
11,208
12,208
13,208
14,208
15,208
16,194
17,194
18,194
19,194
20,194
21,194
22,194
23,194
24,194
25,194
26,194
27,194
28,194
29,194
30,194
31,194
32,194
33,194
34,194
35,194
36,194
37,194
38,194
39,194
40,194
41,194
42,194
43,194
44,180
45,180
46,180
47,180
48,180
49,180
50,180
51,180
52,180
53,179
54,179
55,179
56,179
57,179
58,179
59,179
60,179
61,179
62,179
63,179
64,179
65,179
66,179
67,179
68,179
69,179
70,178
71,178
72,160
73,160
74,160
75,160
76,160
77,160
78,160
79,160
80,160
81,160
82,160
83,160
84,160
85,160
86,160
87,160
88,160
89,160
90,160
91,160
92,160
93,160
94,160
95,160
96,160
97,160
98,160
99,160
100,142
101,142
102,142
103,142
104,142
105,142
106,142
107,142
108,142
109,142
110,142
111,142
112,142
113,142
114,142
115,142
116,142
117,142
118,142
119,142
120,142
121,142
122,142
123,142
124,142
125,142
126,142
127,142
128,140
129,140
130,140
131,140
132,140
133,140
134,140
135,140
136,140
137,128
138,128
139,128
140,128
141,128
142,128
143,128
144,128
145,128
146,128
147,128
148,128
149,128
1,699999529
2,348
3,348
4,348
5,331
6,331
7,297
8,297
9,297
10,297
